feature,ranking,seleccionada
alcohol_12m,1,True
ansiedad_frec,1,True
asi,1,True
binge_alcohol,1,True
conducta_alim,1,True
depresion_cesd,1,True
edad,1,True
sexo_Mujer,1,True
vapea_actual,1,True
violencia_reciente,1,True
sustancias_medicas,2,False
deficit_cognitivo,3,False
drogas_ilegales,4,False
fuma_actual,5,False
desregulacion_conductual,6,False
violencia_familiar,7,False
enfermedad_cronica,8,False
aislamiento_social,9,False
embarazo,10,False
relacion_forzada,11,False
discapacidad_fisica,12,False
